datetime,content,quote,replies,reposts,likes,views
07/05/2024 00:46,"Today we’re launching Google Threat Intelligence from googlecloud to help cybersecurity professionals get better visibility of global threats. It uses Gemini’s advanced AI capabilities, plus expertise and insights from Mandiant + virustotal.",0,85,306,1500,193000
08/05/2024 16:05,"1.8M+ researchers have used GoogleDeepMind’s AlphaFold protein predictions in their work on vaccine development, cancer treatment + more. AlphaFold 3 is the latest breakthrough, predicting the structures + interactions of all of life’s molecules with unprecedented accuracy. We’re sharing access to these capabilities through AlphaFold Server to enable other scientific discoveries. ",0,83,339,2000,244000
08/05/2024 22:27,Glad to support the Secure By Design pledge and reaffirm our commitment to building products with security at the core.,1,66,69,556,172000
14/05/2024 17:59,A beautiful day for #GoogleIO Almost showtime!,0,248,379,6500,362000
17/05/2024 22:34,"Updated Gemini 1.5 Pro report: MATH benchmark for specialized version now at 91.1%, SOTA 3 years ago was 6.9%, overall a lot of progress from February to May in all benchmarks",1,118,206,1400,460000
23/05/2024 18:12,"Today we announced Umoja, the first fiber optic route directly connecting Africa with Australia and Asia Pacific. This builds on our commitment to support Africa's digital transformation by increasing connectivity for people across the continent.",0,160,276,1600,131000
01/06/2024 20:48,More teams than ever will participate in the ICC Men’s T20 Cricket World Cup this year. Exciting to see my favorite sport growing globally - and celebrated in today’s #Doodle. First toss is in a few hours - good luck to all the teams!,0,187,613,7100,272000
05/06/2024 17:09,"AI can play a role in solving infrastructure challenges, from maintaining roads to improving agriculture. Our new GoogleStartups AI Academy: American Infrastructure will help entrepreneurs increase their impact with #GoogleAI tools, training + resources.",0,89,102,604,95000
06/06/2024 16:36,"Amazed by how people are using NotebookLM, from a best-selling author researching his next book to nonprofits drafting grant proposals. Today we’re upgrading NotebookLM with new features and expanding it to many more places around the world.",1,170,139,1000,195000
18/06/2024 05:48,"Exciting news! 🇮🇳 Today, we're launching the Gemini mobile app in India, available in English and 9 Indian languages. We’re also adding these local languages to Gemini Advanced, plus other new features, and launching Gemini in Google Messages in English.",0,443,1100,7900,810000
19/06/2024 01:54,We’re investing $2.3B in our Ohio data centers to expand our technical infrastructure across the state and support Ohio as a growing technology hub.,0,184,156,1000,117000
29/06/2024 19:18,"what a game, could barely breathe, everything that makes sports incredible. Congrats India, so well deserved! SA was incredible. Amazing #WorldT20",0,543,10000,114000,1400000
02/07/2024 23:53,We’re investing $1B in Iowa to expand our technical infrastructure and support our Council Bluffs data centers. This builds on the $5.5B we’ve already invested in the state since 2007.,0,118,151,839,127000
05/07/2024 01:55,Happy 4th of July!!,0,120,131,1500,141000
10/07/2024 17:47,"Today at #SamsungUnpacked, we announced AI-powered updates to Gemini + Circle to Search, coming to the SamsungMobile Galaxy lineup. We’ll continue to partner with Samsung to build great mobile experiences on all Android devices, from tablets to wearables. ",0,109,131,919,248000
14/07/2024 02:00,I’m wishing President Trump a speedy recovery. I’m shocked by today’s shooting and loss of life. Political violence is intolerable and we must all come together to strongly oppose it.,0,331,1300,18000,681000
22/07/2024 23:22,"In Nature today: NeuralGCM, a breakthrough in climate modeling. It combines physics-based modeling with AI, and is up to 100K times more efficient than other models for simulating the atmosphere, providing scientists with new tools for predicting climate change. ",0,108,203,1000,117000
